PC1,PC2,PC3,PC4,PC5,PC6,NP_CCC
11.65115313,1.261557608,-3.877013882,0.667672223,2.681421771,0.40271295,0
2.378890908,-1.940329722,-1.162633264,0.360221553,-1.047629857,0.709057821,0
2.286638908,-0.133369302,-0.336647947,0.290441906,-0.711868377,0.339544713,0
1.965748124,0.059410516,-0.874478791,0.413776682,-0.034401736,-0.102103117,0
2.857576518,-0.778879248,0.255776273,-0.145057429,-1.278371113,1.38336108,0
4.610389873,-1.519734131,0.7725853,-0.62522984,-2.794269301,0.009299316,0
2.102821279,1.030659077,-0.671658287,0.029817328,-0.984949906,-0.428820339,0
-0.198690904,-1.221837191,0.108774523,-0.832340136,-2.590795249,0.42562872,0
6.691991828,-0.950980328,-0.212464874,-0.912276293,-0.833367028,1.31027049,0
0.100593532,1.07290747,-0.722869522,0.145066292,-1.290453073,-0.591475511,0
0.321068873,-0.90747963,1.241235955,0.027689198,-3.194619377,1.123078517,0
0.86334164,-4.613134344,4.39391091,1.943163504,1.070388695,0.092727347,0
0.42530044,-5.204146205,4.068372107,1.684614099,1.148023074,0.982349507,0
0.644342198,-4.908950827,4.230949848,1.814346509,1.109924077,0.537709285,0
1.195647556,-4.162901014,4.642004914,2.136867639,1.007543713,-0.583357073,0
-0.596866626,-2.76040548,3.515001932,1.940643905,2.449830458,0.04597117,0
1.558201764,-5.282518324,4.898514344,1.862342573,0.359885811,0.077621732,0
1.244281639,-4.039220776,4.482621184,1.303702327,-0.27010844,-0.326989219,0
1.34989273,-5.621014934,5.073015531,1.836151319,0.753759662,1.227265245,0
1.17891346,-5.262632217,4.833157484,1.87330121,0.864416992,0.823432387,0
1.330141233,-5.947830077,6.082335093,2.883625412,2.799616566,0.208944851,0
0.377084638,-3.236541751,2.649571655,0.976636457,-0.70602395,-0.027955418,0
0.42530044,-5.204146205,4.068372107,1.684614099,1.148023074,0.982349507,0
0.814520993,-4.693292587,4.744991639,2.15809124,1.422771965,0.121849609,0
0.78035196,-4.749329245,4.989704793,2.307811061,1.668244903,0.142268246,0
0.349874922,-5.366665161,4.267830344,2.793002056,2.857602498,0.654607091,0
0.68980072,-4.898414329,5.642669863,2.706702668,2.321853104,0.196016737,0
0.590436194,-5.061895371,6.361011141,3.145030494,3.040236413,0.254515358,0
0.661494025,-4.215387445,4.131978529,1.571516317,0.373430559,-0.403639895,0
0.655503465,-3.959552667,3.837039122,1.39509678,0.302791895,-0.332452389,0
0.658277058,-4.083749321,3.980124867,1.480675852,0.336002638,-0.367194181,0
0.665230288,-4.355136148,4.293413244,1.668093947,0.41559016,-0.441910657,0
0.669404848,-4.503305288,4.46474538,1.770635537,0.462316515,-0.482165153,0
0.769802117,-4.388996132,4.737140139,2.318099307,1.278372662,-0.016170192,0
0.682303133,-4.182383862,5.053767257,2.666434591,1.47327302,-0.115625995,0
0.592367895,-3.973233331,5.376471238,3.023485402,1.675149957,-0.215748371,0
0.019649674,-5.839454161,4.183299531,3.332638893,3.995890233,1.013989197,0
0.49974401,-3.760206427,5.704347809,3.388734036,1.883067404,-0.316782044,0
-0.187047428,-6.130796625,4.129207368,3.667815714,4.704253348,1.238289113,0
1.178382439,-3.573436428,4.77659669,1.266578449,-0.068250308,-0.118146669,0
1.018869562,-4.117720277,4.582516756,1.617920911,0.519709343,-0.010274995,0
-0.316020451,-4.518362234,2.268863292,2.646158213,1.949118459,0.692264822,0
-1.62254494,-0.719683305,-0.243762214,-0.785213988,0.151364531,0.328417682,0
-2.038878053,-0.145129767,-0.334386717,-0.706393132,0.648649092,0.293297294,0
-2.104787989,3.6617019,1.677048039,0.006110266,1.466467946,-0.172541901,0
-2.23021369,3.759527821,1.649946889,0.078439893,1.721281685,-0.081200184,0
-1.960014066,4.641108427,2.272325015,-0.260329122,1.90902234,-0.344528178,0
-2.643874328,4.55764485,1.880141416,-0.149275601,2.286209215,0.15261474,0
-2.546423027,4.524238749,1.781965176,-0.20795081,2.150324381,-0.116823326,0
-2.352585155,4.434702292,1.748987256,0.013323334,2.03940436,0.073867093,0
-1.916381953,4.66657113,2.494147446,-0.372758325,1.518273308,-0.193600545,0
-2.836589364,7.600740291,3.913828696,-0.758490514,3.764030129,0.805525223,0
-2.490670218,4.886427472,2.157704189,-0.25949177,2.284476658,-0.002851549,0
-2.521016833,5.300030702,2.482294984,-0.352218821,2.375870006,0.224155312,0
-2.490670218,4.886427472,2.157704189,-0.25949177,2.284476658,-0.002851549,0
-2.222525469,4.905326199,1.9161615,-0.337291855,2.225031666,0.088704096,0
-1.961589559,4.922719187,1.686843052,-0.41294089,2.165009444,0.177289643,0
-2.404764499,5.708430222,1.717387062,-0.225894632,3.262496858,0.475786716,0
-2.496059392,5.336048559,2.299817297,-0.414963795,2.156356576,0.032389281,0
-2.690423414,5.07881304,2.527989836,0.275163953,3.839180542,0.784481216,0
-2.417537762,7.654224224,4.055836493,-0.679274028,3.815374163,0.526420147,0
-2.357789247,6.712124709,3.23660295,-0.472519521,3.336962399,0.238042615,0
-2.373595123,6.233754175,2.596535902,-0.385377858,2.943680415,-0.038258507,0
-1.704999611,3.674505812,1.961843783,-0.491106574,0.435799339,-1.061201893,0
-1.520481786,3.631391222,1.955330971,-0.598672293,0.03715097,-1.185830916,0
-1.507418828,3.706134022,2.342028185,-0.198395612,0.10953409,-1.339049332,0
-2.201762292,4.015599198,1.639599921,-0.279319334,1.255552782,-0.893610031,0
-2.459776841,2.53701375,0.625912558,0.452757442,1.274101769,-0.116611475,0
-1.716381655,1.68944282,0.853292318,0.262227243,0.053369591,-0.142238906,0
-2.105729587,3.561913447,1.628907167,0.056707061,1.502781081,-0.169442591,0
-2.303858748,2.779071382,0.920994459,0.260290482,1.014529476,-0.186269438,0
-2.101213529,3.66221909,1.665366612,0.018862791,1.465280416,-0.162791168,0
-2.454813424,4.33356779,1.799563164,0.152925192,2.459837303,0.226811159,0
-2.929074686,2.877258079,0.398874706,0.710255399,1.411959022,-0.550960791,0
-1.822375217,2.600995023,1.256456491,0.053926511,-0.290155437,-0.946404632,0
-2.487359436,4.534017889,2.128745268,-0.385185916,1.882284485,0.006507735,0
-2.864301726,3.842152438,1.495874734,-0.117408652,1.799429589,0.265839194,0
-2.129282193,-2.356220824,-2.529298686,-1.263306407,0.903866523,-0.777395092,0
-2.145586414,-2.384048105,-2.52749772,-1.345808652,0.965557997,-0.781603936,0
-2.16293542,-2.412610705,-2.528030931,-1.426913401,1.028846449,-0.786290598,0
-2.183426769,-2.440943196,-2.534204434,-1.502653279,1.097007271,-0.786732375,0
-2.210220716,-2.471027807,-2.53821215,-1.582288178,1.167093504,-0.786611035,0
-2.176131075,-2.240689195,-2.434818053,-1.320603767,1.026730578,-0.857869406,0
-2.672303517,-2.468456942,-3.005770472,-1.437470599,1.880817748,-0.660178741,0
-2.19264557,-2.268182712,-2.433757587,-1.408084636,1.091833543,-0.869122911,0
-2.210201818,-2.292696537,-2.426739924,-1.494026477,1.15669977,-0.876040768,0
-2.232889681,-2.318232546,-2.419581607,-1.578290421,1.222965272,-0.880013005,0
-2.255637298,-2.347238607,-2.426170702,-1.662608434,1.297776724,-0.887752219,0
-2.572929404,-2.489503306,-2.790159165,-1.727306231,1.834819226,-0.75783587,0
-1.2057879,-2.03950914,-1.399048118,-1.740452395,-0.578704635,-1.158662521,0
-1.670272597,-2.263393999,-1.961423301,-1.878621278,0.192279842,-0.950260513,0
-2.25292958,-2.545702933,-2.674547213,-2.047631208,1.165142418,-0.682848577,0
-1.042624817,-1.922643825,-1.285902614,-1.857063213,-0.802144182,-1.40521098,0
-1.513546339,-2.146307976,-1.848788003,-1.985828791,-0.024846963,-1.185375203,0
-2.209423436,-2.47850286,-2.68329267,-2.172812337,1.12358858,-0.853821548,0
-2.626528505,-2.683533628,-3.192438886,-2.287641623,1.817662767,-0.657632335,0
-1.377938806,-2.077486183,-1.649997241,-1.606570834,-0.356880111,-1.058768701,0
-1.834082092,-2.300409257,-2.200557492,-1.750975042,0.403847311,-0.854809144,0
-2.215184474,-2.487107682,-2.663617972,-1.868983387,1.038302183,-0.681977996,0
-2.60728294,-2.682407852,-3.144815532,-1.993139387,1.697284842,-0.506601535,0
-1.101972498,-1.972270584,-1.449272016,-1.775369973,-0.702457184,-1.453829884,0
-1.569740948,-2.191790418,-2.003141995,-1.906062261,0.068674868,-1.232219184,0
-2.363094476,-2.570379453,-2.954308954,-2.125591266,1.381357702,-0.852268687,0
-2.237424477,-0.006088946,-3.894177869,6.189753403,-2.70597577,1.670281757,0
-2.388852563,0.125877813,-3.947969378,6.166650135,-2.488683552,1.656780538,0
-2.013461402,1.619868818,-2.43985799,4.515744942,-3.013102973,1.101700718,0
-2.217060386,0.457930466,-3.013332114,5.082245588,-2.321530825,1.091907908,0
-1.991082881,0.388265245,-2.660525206,4.735288043,-2.49863564,0.929581931,0
-2.686488177,-2.029778905,-3.029247958,-1.734829476,0.545341122,-0.449466185,0
-2.495125384,-3.243153424,-3.332670024,-2.443835764,0.818625443,-0.752442012,0
-2.361696391,-3.238331429,-3.286221004,-2.174176451,1.383160529,-1.41477413,0
-2.529179203,-3.687328203,-3.458004888,-2.607766461,1.209502762,-0.95977758,0
-2.416595429,-3.756273897,-3.51170022,-2.424308227,1.834130658,-1.691638838,0
-2.294469531,-1.887142804,-2.464794641,-1.925744281,0.103910153,-0.652834817,0
-1.983041136,-1.733949425,-2.215049637,-1.283181068,0.218499674,-1.193863988,0
-2.505784896,-3.370447058,-3.409853636,-2.523877323,0.84646824,-0.770222453,0
-2.323790153,-3.344265696,-3.331855267,-2.281833035,1.33972685,-1.478263091,0
-2.148810128,-1.856206057,-2.427578182,-1.574197227,-0.115164153,-0.730967235,0
-1.721457647,-0.200823305,-0.491512948,-0.562680887,-1.235463887,-0.270182125,0
-1.055287129,0.848507516,0.252240292,-0.671777347,-2.260630468,-0.715064544,0
-0.78459458,1.505437464,1.333218508,-1.479064869,-3.015795545,-0.128269953,0
-1.55956179,0.245437252,-0.031837464,-2.149230305,-1.641772702,0.464919586,0
-1.282615838,0.756702524,0.742385836,-2.68582146,-2.269780179,0.617028443,0
-1.538591776,0.347133382,0.141528752,-2.486111715,-1.82209534,0.487919506,0
