PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NP_CCC
7.939216706,0.403273493,0.227467703,-0.618584681,1.077565968,-0.207759876,1.006664137,0.295974429,1.259933754,0.274819755,0
3.899120748,-0.440459817,-0.412872697,-0.127104235,0.701700412,0.471893316,-0.815292774,-0.214614215,-0.263734534,-0.970278697,0
3.192161162,1.475400508,2.139488361,-0.191863675,3.051547683,-0.285238527,2.500397105,-0.887450548,0.582940106,-1.843063439,0
2.930116514,-1.144363641,0.912574479,-0.292934891,4.41751479,-0.526846288,-1.441450612,-1.728548157,0.351472307,-2.140835203,0
15.95457241,-1.552737722,-3.163376804,-0.242152016,-1.947230054,0.800871785,-1.589097073,-0.607346859,0.017484737,0.249857003,0
1.377944625,0.520609962,-0.095614587,0.069426204,0.978364392,0.353235677,-1.736668138,-0.512338731,0.771929921,-1.997580092,0
15.37703447,-2.81481642,-3.240634561,0.119018896,-1.587222684,2.404167512,0.817808378,1.267079204,-0.331776863,1.745228279,0
9.903277363,0.488949844,-1.400540646,-0.686090497,-0.344839627,-0.338348382,-0.970785312,0.07509996,0.013609116,0.485026073,0
3.248531618,-1.300973087,2.110820601,-0.581762568,3.828801857,-1.545470309,0.938995134,-1.034462154,-0.269789584,-2.34660495,0
1.4968029,0.551866037,-0.562966717,-0.038299723,1.000702706,0.246398894,-2.275588345,-1.501752584,1.174119418,-2.782655686,0
16.23653662,-0.598724833,-4.212317939,0.325680013,-4.527354568,2.701394624,-0.02711814,1.264286367,0.674062448,1.494736871,0
18.99986993,-3.426703741,-1.679831661,-1.119594767,-2.440978212,-2.006077778,0.514148317,0.362124705,-0.501183024,0.55740791,0
4.477748076,-1.435341852,0.155002822,-0.523089706,1.450951823,-0.780428917,-0.834827851,-0.420136638,-0.323965681,-1.159101483,0
3.022662062,-0.501619577,1.75327924,-0.859488044,4.689183195,-1.510589369,0.670989545,-0.015141847,0.893417071,-0.230738298,0
3.008933524,-1.968776395,1.713868955,-0.487273255,4.694525304,-1.350989467,-0.996139157,-0.72915214,-0.008832593,-1.380276967,0
2.542402346,1.850027621,1.416334306,0.147897735,1.639479406,0.467587923,2.268497797,-0.795151148,1.090626298,-2.519241434,0
14.80375162,-0.851208423,-5.393947829,0.004813653,-6.010066787,2.057008884,-2.172774166,0.00078696,0.390634946,-0.175191375,1
0.596578977,-0.221942091,-0.862797025,0.52190624,1.19544861,2.48582565,0.260461475,0.386085931,0.830589459,-1.338439301,0
-0.126590649,1.035987132,-1.654202403,0.190440257,-1.228387405,1.629333304,-1.82670335,0.029685585,0.326694329,-1.710251038,1
2.452941808,1.314336187,0.739973542,-0.58659669,2.847516546,-0.785747425,-1.013927431,-0.628866542,0.350360747,-0.95403537,0
1.373841313,-0.079648231,-0.009844615,0.541910321,2.698045137,2.29849635,0.106328672,-0.013131975,0.318118011,-0.776088451,0
3.057706436,0.276226277,1.003439095,-1.224928718,3.30923374,-2.74009969,-1.826513598,-1.662714429,1.109333773,-1.910634583,0
2.414209173,1.258187432,0.393571744,-0.419926934,1.703925914,-0.613645728,-0.65849345,-1.863793261,0.761659381,-2.9116813,0
4.751034726,-0.948774635,0.387919475,-0.254188196,2.503225017,-0.182328788,-0.798980385,-0.414023729,-0.054027046,-0.878134635,0
4.484996831,-0.157892559,-1.222432657,0.003262544,-0.130702107,0.811429435,-1.424550696,-0.781659642,0.443205835,-1.727920917,0
4.876532448,-0.637404492,-0.546823195,-0.042287062,1.107158152,0.680515423,-0.982935739,-0.503146036,-0.163373679,-1.019159274,0
5.901788076,0.29659562,0.176010885,-0.526810874,2.169970352,-0.613287854,-0.841598549,-0.971975886,0.256633294,-0.921291338,0
