PC1,PC2,NP_CCC
-0.303332044,1.508319025,0
-0.48783726,-2.225652318,0
-1.551682885,-2.262927615,0
-1.456940688,-2.432516091,0
-1.522059093,-2.737600661,0
-1.621083167,-2.145755982,0
-1.44881898,-1.978143224,0
-1.57180766,-2.826964104,0
-1.335591836,-2.574951421,0
-0.860443236,-4.314039468,0
-0.950017769,2.16966013,0
-0.255135542,1.230457861,0
-0.314828708,1.041298325,0
-0.936655121,1.729890807,1
-1.427480511,4.435134217,1
-1.160154036,4.4659121,0
-1.470089768,4.580366193,1
-1.495431978,4.033494565,1
-1.496729101,3.912116283,1
-1.498033129,3.790746616,1
-1.29648134,4.211086316,0
-1.39700482,3.918313299,0
-1.177583022,4.492277243,0
-0.823942691,4.572393532,0
-0.754964472,4.71276137,0
-0.566845955,4.760423651,0
-0.672890322,4.615515188,0
-0.738259305,4.553480492,0
-1.188521434,4.306235512,0
-1.413858112,4.132112081,1
-1.146753619,4.161870095,0
-1.456687907,4.272225985,0
-1.479179125,3.724876014,1
-1.479993522,3.60221022,1
-1.480816024,3.479543041,1
-3.177269739,-2.719540037,0
-0.70186314,-2.807901404,0
-0.763920269,-2.057604682,0
-2.651299627,-6.969628923,0
-0.870823526,-0.876563275,0
-3.566860651,0.16261893,1
-1.51315976,-3.55842429,0
-0.855960778,-3.531576755,0
-4.025815422,-1.5692987,1
-2.217828953,-0.113852968,1
-1.167376919,-3.594845288,0
-2.839782867,-1.700851897,0
-2.077261665,-0.963520425,1
-0.426532909,-3.142010781,0
-2.821284464,-1.548400752,1
-1.239022585,-2.467762245,0
-2.988837736,-1.29125043,1
-1.714975473,-2.599979272,0
-1.213152901,-2.062313356,0
-2.385704955,-7.290569676,0
-0.760237581,-2.866613836,0
-2.380843008,-3.873975591,1
-2.257863722,-0.97766191,1
-3.475423127,-1.957961721,1
-2.833394854,-0.25010963,1
-3.013352648,-1.526398065,1
-2.376821411,-2.346363551,0
-2.088258716,-2.407369213,0
-2.725266745,-1.335006411,1
-1.090452941,-3.391754909,0
-2.462037724,-0.631496978,1
-1.156157517,-1.64300217,0
-1.938041114,-2.778723,0
-1.345270137,-1.194106308,1
-1.533752875,-0.609169507,0
0.275315496,-4.3616039,0
-0.572090293,-1.791387141,0
0.584073432,-3.063817723,0
-1.011524416,-2.554364848,0
-0.899098046,-2.055612635,0
0.208507186,-3.408377607,0
-1.738930526,-2.256740891,0
-1.682403051,-0.675025842,0
-1.825041332,-0.973089341,0
-1.447713682,-1.861919675,0
-1.797107058,-2.60802154,0
-1.900462012,-2.652050319,0
-1.677497377,-3.424813721,0
-2.139230304,-3.145775753,0
-2.043486209,-3.131216491,0
-2.071906232,-3.156012474,0
-1.6453852,-3.64945766,0
-2.467571156,-5.737530297,0
-2.166984183,-2.901019708,1
-2.359619302,-3.311679866,1
-2.073012136,-3.550500871,0
-2.128853546,-3.953028223,0
-2.073012136,-3.550500871,0
-1.803151743,-3.545348965,0
-1.540206856,-3.540967237,0
-2.256618673,-3.000247161,1
-2.029706556,-3.853478718,0
-2.116656078,-4.028562956,0
-2.506655124,-3.014410537,1
-2.38950919,-3.321730118,0
-2.256332235,-5.874871903,0
-2.169059612,-5.040853646,0
-2.175922163,-4.641376688,0
-1.361139952,-3.155274428,0
-1.200678011,-3.173025964,0
-1.258704991,-3.525483122,0
-1.838672501,-3.284206179,0
-2.074911404,-1.542310978,1
-1.369295402,-1.084703446,0
-1.784289204,-2.490329491,0
-1.940778417,-1.892586202,0
-1.788683275,-2.599810122,0
-2.158802612,-2.948841345,0
-1.625398579,-1.626431007,1
-2.121498818,-1.718697551,1
-2.388743981,-1.962785422,1
-2.362034681,-2.008331658,1
-2.502110368,-1.877007815,1
-2.359605426,-1.953610765,1
-2.355234269,-1.844442383,1
-2.469389827,-1.90505492,1
-2.794313263,-1.561863415,1
-2.762249323,-1.683957942,1
