PC1,PC2,PC3,PC4,NP_CCC
0.321068873,-0.90747963,1.241235955,0.027689198,0
0.86334164,-4.613134344,4.39391091,1.943163504,0
0.42530044,-5.204146205,4.068372107,1.684614099,0
0.644342198,-4.908950827,4.230949848,1.814346509,0
1.195647556,-4.162901014,4.642004914,2.136867639,0
-0.596866626,-2.76040548,3.515001932,1.940643905,0
1.558201764,-5.282518324,4.898514344,1.862342573,0
1.244281639,-4.039220776,4.482621184,1.303702327,0
1.34989273,-5.621014934,5.073015531,1.836151319,0
1.17891346,-5.262632217,4.833157484,1.87330121,0
1.330141233,-5.947830077,6.082335093,2.883625412,0
0.377084638,-3.236541751,2.649571655,0.976636457,0
0.42530044,-5.204146205,4.068372107,1.684614099,0
0.814520993,-4.693292587,4.744991639,2.15809124,0
0.78035196,-4.749329245,4.989704793,2.307811061,0
0.349874922,-5.366665161,4.267830344,2.793002056,0
0.68980072,-4.898414329,5.642669863,2.706702668,0
0.590436194,-5.061895371,6.361011141,3.145030494,0
0.661494025,-4.215387445,4.131978529,1.571516317,0
0.655503465,-3.959552667,3.837039122,1.39509678,0
0.658277058,-4.083749321,3.980124867,1.480675852,0
0.665230288,-4.355136148,4.293413244,1.668093947,0
0.669404848,-4.503305288,4.46474538,1.770635537,0
0.769802117,-4.388996132,4.737140139,2.318099307,0
0.682303133,-4.182383862,5.053767257,2.666434591,0
0.592367895,-3.973233331,5.376471238,3.023485402,0
0.019649674,-5.839454161,4.183299531,3.332638893,0
0.49974401,-3.760206427,5.704347809,3.388734036,0
-0.187047428,-6.130796625,4.129207368,3.667815714,0
1.178382439,-3.573436428,4.77659669,1.266578449,0
1.018869562,-4.117720277,4.582516756,1.617920911,0
-0.316020451,-4.518362234,2.268863292,2.646158213,0
-1.62254494,-0.719683305,-0.243762214,-0.785213988,0
-2.038878053,-0.145129767,-0.334386717,-0.706393132,0
-2.104787989,3.6617019,1.677048039,0.006110266,0
-2.23021369,3.759527821,1.649946889,0.078439893,0
-1.960014066,4.641108427,2.272325015,-0.260329122,0
-2.643874328,4.55764485,1.880141416,-0.149275601,0
-2.546423027,4.524238749,1.781965176,-0.20795081,0
-2.352585155,4.434702292,1.748987256,0.013323334,0
-1.916381953,4.66657113,2.494147446,-0.372758325,0
-2.836589364,7.600740291,3.913828696,-0.758490514,0
-2.490670218,4.886427472,2.157704189,-0.25949177,0
-2.521016833,5.300030702,2.482294984,-0.352218821,0
-2.490670218,4.886427472,2.157704189,-0.25949177,0
-2.222525469,4.905326199,1.9161615,-0.337291855,0
-1.961589559,4.922719187,1.686843052,-0.41294089,0
-2.404764499,5.708430222,1.717387062,-0.225894632,0
-2.496059392,5.336048559,2.299817297,-0.414963795,0
-2.690423414,5.07881304,2.527989836,0.275163953,0
-2.417537762,7.654224224,4.055836493,-0.679274028,0
-2.357789247,6.712124709,3.23660295,-0.472519521,0
-2.373595123,6.233754175,2.596535902,-0.385377858,0
-1.704999611,3.674505812,1.961843783,-0.491106574,0
-1.520481786,3.631391222,1.955330971,-0.598672293,0
-1.507418828,3.706134022,2.342028185,-0.198395612,0
-2.201762292,4.015599198,1.639599921,-0.279319334,0
-2.459776841,2.53701375,0.625912558,0.452757442,0
-1.716381655,1.68944282,0.853292318,0.262227243,0
-2.105729587,3.561913447,1.628907167,0.056707061,0
-2.303858748,2.779071382,0.920994459,0.260290482,0
-2.101213529,3.66221909,1.665366612,0.018862791,0
-2.454813424,4.33356779,1.799563164,0.152925192,0
-2.929074686,2.877258079,0.398874706,0.710255399,0
-1.822375217,2.600995023,1.256456491,0.053926511,0
-2.487359436,4.534017889,2.128745268,-0.385185916,0
-2.864301726,3.842152438,1.495874734,-0.117408652,0
-2.129282193,-2.356220824,-2.529298686,-1.263306407,0
-2.145586414,-2.384048105,-2.52749772,-1.345808652,0
-2.16293542,-2.412610705,-2.528030931,-1.426913401,0
-2.183426769,-2.440943196,-2.534204434,-1.502653279,0
-2.210220716,-2.471027807,-2.53821215,-1.582288178,0
-2.176131075,-2.240689195,-2.434818053,-1.320603767,0
-2.672303517,-2.468456942,-3.005770472,-1.437470599,0
-2.19264557,-2.268182712,-2.433757587,-1.408084636,0
-2.210201818,-2.292696537,-2.426739924,-1.494026477,0
-2.232889681,-2.318232546,-2.419581607,-1.578290421,0
-2.255637298,-2.347238607,-2.426170702,-1.662608434,0
-2.572929404,-2.489503306,-2.790159165,-1.727306231,0
-1.2057879,-2.03950914,-1.399048118,-1.740452395,0
-1.670272597,-2.263393999,-1.961423301,-1.878621278,0
