PC1,PC2,PC3,PC4,NP_CCC
0.596578977,-0.221942091,-0.862797025,0.52190624,0
-0.126590649,1.035987132,-1.654202403,0.190440257,1
2.452941808,1.314336187,0.739973542,-0.58659669,0
1.373841313,-0.079648231,-0.009844615,0.541910321,0
3.057706436,0.276226277,1.003439095,-1.224928718,0
2.414209173,1.258187432,0.393571744,-0.419926934,0
4.751034726,-0.948774635,0.387919475,-0.254188196,0
4.484996831,-0.157892559,-1.222432657,0.003262544,0
4.876532448,-0.637404492,-0.546823195,-0.042287062,0
5.901788076,0.29659562,0.176010885,-0.526810874,0
6.252991011,-1.199890157,0.868228401,-0.444006053,0
5.695901299,-1.186994619,0.321383258,-0.187216425,0
12.06144382,-1.902652725,-1.481331572,-0.445462195,0
11.02665816,-1.799162108,-1.44300716,-0.097025029,0
11.62157858,-0.652397808,-1.962691839,-0.200470086,0
9.142023723,-1.927689318,-1.415574992,-0.316162133,0
5.469619032,-0.912724492,-0.09002317,-0.297965694,0
13.88455006,-2.397783617,-2.445046365,-0.392617749,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0
7.939216706,0.403273493,0.227467703,-0.618584681,0
10.87759722,-0.396714888,-0.360436575,-0.169929776,0
1.819501597,1.10598939,4.998452844,1.308124109,0
2.086969717,1.59695958,6.209064963,1.907802769,0
1.588756385,0.6687833,3.204654523,0.404784555,0
1.92879501,-2.303444255,0.079063092,-0.454245921,0
1.253043142,-0.724638265,-0.280522934,0.304799538,0
11.75002154,-0.538279651,-1.163011084,-0.878419333,0
1.201554307,0.749166866,-0.535547192,0.690821822,0
1.311270328,0.190041079,-0.505428309,0.611172491,0
2.536098935,-1.219949463,1.335020102,-0.282671901,0
-0.097756675,-1.420302904,-1.344277054,-0.158612309,1
6.490690983,0.752872733,0.839360359,-0.337022997,0
2.028654666,0.288851689,3.044878447,0.085878083,0
2.157004011,0.423036658,1.48519251,1.070608684,0
-0.762566486,-1.389376215,0.207884128,0.652188793,0
-0.330465036,-2.264312389,1.425477843,1.125874542,0
4.381085252,-0.656118075,-0.639243085,7.46733876,0
10.99656216,-2.021122261,-1.677454199,-0.072046383,0
3.813293867,0.487395116,-6.834580623,17.61004687,0
11.66817813,0.160458666,-1.325806771,-0.136668939,0
